session,title,keys,file_path,file_type
BM26 SC5736,Capillary_2mm_water,,\\Synology\Data\2024\BM26 SC5736\Capillary_2mm_water\SAXS\Capillary_2mm_water_SAXS_0000.edf,edf/dat
BM26 SC5736,Capillary_2mm_water,,\\Synology\Data\2024\BM26 SC5736\Capillary_2mm_water\WAXS\Capillary_2mm_water_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_11_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_11_pristine\SAXS\PEG_PLA_11_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_11_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_11_pristine\WAXS\PEG_PLA_11_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_8_bis,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_8_bis\SAXS\PEG_PLA_8_bis_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_8_bis,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_8_bis\WAXS\PEG_PLA_8_bis_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_8_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_8_pristine\SAXS\PEG_PLA_8_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_8_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_8_pristine\WAXS\PEG_PLA_8_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_after_cooling_RT\SAXS\PEG_PLA_R11_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_after_cooling_RT\WAXS\PEG_PLA_R11_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_cooling\SAXS\PEG_PLA_R11_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_cooling\WAXS\PEG_PLA_R11_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_heating\SAXS\PEG_PLA_R11_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_heating\WAXS\PEG_PLA_R11_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_second_cooling_to_0C,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_second_cooling_to_0C\SAXS\PEG_PLA_R11_second_cooling_to_0C_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_second_cooling_to_0C,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_second_cooling_to_0C\WAXS\PEG_PLA_R11_second_cooling_to_0C_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_second_heating\SAXS\PEG_PLA_R11_second_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R11_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R11_second_heating\WAXS\PEG_PLA_R11_second_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R17_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R17_pristine\SAXS\PEG_PLA_R17_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R17_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R17_pristine\WAXS\PEG_PLA_R17_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_after_cooling_RT\SAXS\PEG_PLA_R18_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_after_cooling_RT\WAXS\PEG_PLA_R18_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_cooling\SAXS\PEG_PLA_R18_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_cooling\WAXS\PEG_PLA_R18_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_heating\SAXS\PEG_PLA_R18_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_heating\WAXS\PEG_PLA_R18_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_pristine\SAXS\PEG_PLA_R18_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_pristine\WAXS\PEG_PLA_R18_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_second_heating\SAXS\PEG_PLA_R18_second_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R18_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R18_second_heating\WAXS\PEG_PLA_R18_second_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_after_Cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_after_Cooling_RT\SAXS\PEG_PLA_R19_after_Cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_after_Cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_after_Cooling_RT\WAXS\PEG_PLA_R19_after_Cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_cooling\SAXS\PEG_PLA_R19_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_cooling\WAXS\PEG_PLA_R19_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_heating\SAXS\PEG_PLA_R19_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_heating\WAXS\PEG_PLA_R19_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_pristine\SAXS\PEG_PLA_R19_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_pristine\WAXS\PEG_PLA_R19_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_second_heating\SAXS\PEG_PLA_R19_second_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R19_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R19_second_heating\WAXS\PEG_PLA_R19_second_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_after_cooling_RT\SAXS\PEG_PLA_R20_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_after_cooling_RT\WAXS\PEG_PLA_R20_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_cooling\SAXS\PEG_PLA_R20_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_cooling\WAXS\PEG_PLA_R20_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_heating\SAXS\PEG_PLA_R20_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R20_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R20_heating\WAXS\PEG_PLA_R20_heating_WAXS_0000.edf,edf/dat
