session,title,keys,file_path
SC_5665,PEG_PNIPAM_576_6_10pc_cooling_2C_min,PEG|PNIPAM|576|6|10pc|cooling|2C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00042_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_5pc_heating_1C_min,PEG|PNIPAM|576|12|5pc|heating|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00035_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_5pc_15C,PEG|PNIPAM|576|12|5pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00034_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_10pc_cooling_2C_min,PEG|PNIPAM|576|12|10pc|cooling|2C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00048_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_1pc_heating_2C_min_13m,PEG|PNIPAM|576|6|1pc|heating|2C|min|13m,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00054_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_10pc_15C,PEG|PNIPAM|576|6|10pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00040_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_20pc_heating_1C_min,PEG|PNIPAM|576|6|20pc|heating|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00016_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_5pc_heating_1C_min,PEG|PNIPAM|576|6|5pc|heating|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00023_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_20pc_15C,PEG|PNIPAM|576|12|20pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00028_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_10pc_15C,PEG|PNIPAM|576|12|10pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00046_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_10pc_heating_2C_min,PEG|PNIPAM|576|6|10pc|heating|2C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00041_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_20pc_cooling_1C_min,PEG|PNIPAM|576|6|20pc|cooling|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00017_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_5pc_cooling_2C_min,PEG|PNIPAM|576|12|5pc|cooling|2C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00036_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_5pc_15C,PEG|PNIPAM|576|6|5pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00022_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_10pc_heating_2C_min,PEG|PNIPAM|576|12|10pc|heating|2C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00047_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_1pc_15C,PEG|PNIPAM|576|6|1pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00053_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_20pc_heating_1C_min,PEG|PNIPAM|576|12|20pc|heating|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00029_00_ave.h5
SC_5665,water_5m_15C,water|5m|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00008_00_ave.h5
SC_5665,PEG_PNIPAM_576_12_20pc_cooling_1C_min,PEG|PNIPAM|576|12|20pc|cooling|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00030_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_5pc_cooling_1C_min,PEG|PNIPAM|576|6|5pc|cooling|1C|min,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00024_00_ave.h5
SC_5665,PEG_PNIPAM_576_6_20pc_15C,PEG|PNIPAM|576|6|20pc|15C,/Users/akmalumarov/Desktop/X-Ray Analysis/Gelation_data/SC_5665/Gelation_eiger2_00005_00_ave.h5
SC5711,PE_Nikos_NG_97_Bstmoved,PE|Nikos|NG|97|Bstmoved,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos_NG_97_Bstmoved/WAXS/PE_Nikos_NG_97_Bstmoved_WAXS_0001.edf
SC5711,PE_Nikos_NG_97,PE|Nikos|NG|97,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_97/WAXS/PE_Nikos_NG_97_WAXS_0000.edf
SC5711,PE_Nikos_NG_96,PE|Nikos|NG|96,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_96/WAXS/PE_Nikos_NG_96_WAXS_0001.edf
SC5711,PE_Nikos_NG_82B,PE|Nikos|NG|82B,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_82B/WAXS/PE_Nikos_NG_82B_WAXS_0001.edf
SC5711,PE_Nikos_NG_101,PE|Nikos|NG|101,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_101/WAXS/PE_Nikos_NG_101_WAXS_0002.edf
SC5711,PE_Nikos_NG_73,PE|Nikos|NG|73,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_73/WAXS/PE_Nikos_NG_73_WAXS_0001.edf
SC5711,PE_Nikos_NG_87,PE|Nikos|NG|87,/Users/akmalumarov/Desktop/X-Ray Analysis/PE Nikos Data/SC5711/PE_Nikos/PE_Nikos_NG_87/WAXS/PE_Nikos_NG_87_WAXS_0002.edf
