session,title,keys,file_path
IHSC_1872,XX_43_CHCl3_static,XX|43|CHCl3|static,E:\sessions\IHSC_1872\XX_43_CHCl3\XX_43_CHCl3_static\WAXS\XX_43_CHCl3_static_WAXS_0000.edf
IHSC_1872,Water_Capillary_1_5mm,Water|Capillary|1|5mm,E:\sessions\IHSC_1872\Water\Water_Capillary_1_5mm\WAXS\Water_Capillary_1_5mm_WAXS_0000.edf
IHSC_1872,VTE4_P2_Ht_100C_10Kpm,VTE4|P2|Ht|100C|10Kpm,E:\sessions\IHSC_1872\VTE4_P2\VTE4_P2_Ht_100C_10Kpm\WAXS\VTE4_P2_Ht_100C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE4_P1_Ht_100C_10Kpm,VTE4|P1|Ht|100C|10Kpm,E:\sessions\IHSC_1872\VTE4_P1\VTE4_P1_Ht_100C_10Kpm\WAXS\VTE4_P1_Ht_100C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P3_Ht_80C_10Kpm,VTE2|P3|Ht|80C|10Kpm,E:\sessions\IHSC_1872\VTE2_P3\VTE2_P3_Ht_80C_10Kpm\WAXS\VTE2_P3_Ht_80C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P3_Ht_80C_140C_10Kpm,VTE2|P3|Ht|80C|140C|10Kpm,E:\sessions\IHSC_1872\VTE2_P3\VTE2_P3_Ht_80C_140C_10Kpm\WAXS\VTE2_P3_Ht_80C_140C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P2_Cooling_140C_25C_10Kpm,VTE2|P2|Cooling|140C|25C|10Kpm,E:\sessions\IHSC_1872\VTE2_P2\VTE2_P2_Cooling_140C_25C_10Kpm\WAXS\VTE2_P2_Cooling_140C_25C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P2_Ht_80C_10Kpm,VTE2|P2|Ht|80C|10Kpm,E:\sessions\IHSC_1872\VTE2_P2\VTE2_P2_Ht_80C_10Kpm\WAXS\VTE2_P2_Ht_80C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P2_Ht_80C_150C_10Kpm,VTE2|P2|Ht|80C|150C|10Kpm,E:\sessions\IHSC_1872\VTE2_P2\VTE2_P2_Ht_80C_150C_10Kpm\WAXS\VTE2_P2_Ht_80C_150C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P2_Second_Ht_140C_10Kpm,VTE2|P2|Second|Ht|140C|10Kpm,E:\sessions\IHSC_1872\VTE2_P2\VTE2_P2_Second_Ht_140C_10Kpm\WAXS\VTE2_P2_Second_Ht_140C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE2_P1_Ht_205C_10Kpm,VTE2|P1|Ht|205C|10Kpm,E:\sessions\IHSC_1872\VTE2_P1\VTE2_P1_Ht_205C_10Kpm\WAXS\VTE2_P1_Ht_205C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE1_P6_Ht_80C_10Kpm,VTE1|P6|Ht|80C|10Kpm,E:\sessions\IHSC_1872\VTE1_P6\VTE1_P6_Ht_80C_10Kpm\WAXS\VTE1_P6_Ht_80C_10Kpm_WAXS_0000.edf
IHSC_1872,VTE1_P6_static_RT,VTE1|P6|static|RT,E:\sessions\IHSC_1872\VTE1_P6\VTE1_P6_static_RT\WAXS\VTE1_P6_static_RT_WAXS_0000.edf
IHSC_1872,VTE1_P5_static_RT,VTE1|P5|static|RT,E:\sessions\IHSC_1872\VTE1_P5\VTE1_P5_static_RT\WAXS\VTE1_P5_static_RT_WAXS_0000.edf
IHSC_1872,VTE1_P3_Ht_80C_10Kpm,VTE1|P3|Ht|80C|10Kpm,E:\sessions\IHSC_1872\VTE1_P3\VTE1_P3_Ht_80C_10Kpm\WAXS\VTE1_P3_Ht_80C_10Kpm_WAXS_0000.edf
